Job_Title,URL,Job Type,Company,City,State,Minimum Salary,Maximum Salary,Skills
Software Engineer - Entry to Experienced Level,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=255365&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6c926035&cb=1522973068512&jobListingId=2652075090,Part Time, NSA,Fort Meade, MD,74000,109000,algorithm
Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=66506&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3e55fd89&cb=1522973068514&jobListingId=2653937890,Part Time, Bixly Inc,Fresno, CA,42000,64000,"java,python,javascript,rest,soap,angularjs"
QA Engineer Automation,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=327004&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1442a7b6&cb=1522973068515&jobListingId=2724528710,Part Time, Deluxe Corporation,Wausau, WI,0,0,"java,ios,rest,soap"
Software Engineer Coop,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=287934&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a14b0ef9&cb=1522973068517&jobListingId=2709409870,Part Time, Mercury Systems,North Andover, MA,43000,64000,"c++,python"
"Software Engineer Internship, Voltage SecureData - Provo, UT",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=302536&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a8905165&cb=1522973068520&jobListingId=2710780509,Part Time, Micro Focus,Provo, UT,23000,35000,java
Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4120&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_23f7c07f&cb=1522973068522&jobListingId=2711266341,Part Time, Rice University,Houston, TX,70000,104000,python
Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=232305&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_60956bbb&cb=1522973068524&jobListingId=2721271237,Part Time, Mediware,,,0,0,"c#,.net"
Offensive Cyber Software Engineer - Entry to Experienced Level,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=255365&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_aae888e9&cb=1522973068526&jobListingId=2652075074,Part Time, NSA,Fort Meade, MD,74000,109000,
Hardware/Software Design Engineer (Entry/Mid-Level),https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=255371&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6489434b&cb=1522973068529&jobListingId=2652074916,Part Time, NSA,Fort Meade, MD,69000,94000,"java,c++"
VoIP Network Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=289997&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_33812706&cb=1522973068531&jobListingId=2587177563,Part Time, J.B. Hunt,Lowell, AR,49000,73000,
